
City,Year,Field,Graduates
Agartala,2015,engineers_BE_BTech,15000
Agartala,2015,architecture_BArch,200
Agartala,2015,design_graduates_BDes_MDes,80
Agartala,2015,doctors_MBBS,700
Agartala,2015,doctors_BDS,250
Agartala,2015,doctors_BAMS_BHMS_Unani,300
Agartala,2015,bsc_graduates,22000
Agartala,2015,bcom_graduates,20000
Agartala,2015,arts_graduates_BA,25000
Agartala,2015,hotel_management_degree,600
Agartala,2015,education_BEd,6000
Agartala,2015,diploma_holders_polytechnic,18000
Agartala,2015,vocational_degree_BVoc,50
Agartala,2015,ITI_and_ShortTerm_Vocational_Certified,45000
Agartala,2015,pg_science_MSc,4500
Agartala,2015,pg_commerce_MCom,4000
Agartala,2015,pg_arts_MA,5000
Agartala,2015,pg_eng_ME_MTech,1500
Agartala,2015,pg_medical_MD_MS,350
Agartala,2015,pg_management_MBA,4000
Agartala,2015,pg_computers_MCA,1800
Agartala,2015,pg_education_MEd,400
Agartala,2016,engineers_BE_BTech,15500
Agartala,2016,architecture_BArch,210
Agartala,2016,design_graduates_BDes_MDes,85
Agartala,2016,doctors_MBBS,720
Agartala,2016,doctors_BDS,260
Agartala,2016,doctors_BAMS_BHMS_Unani,310
Agartala,2016,bsc_graduates,22500
Agartala,2016,bcom_graduates,20500
Agartala,2016,arts_graduates_BA,25500
Agartala,2016,hotel_management_degree,650
Agartala,2016,education_BEd,6200
Agartala,2016,diploma_holders_polytechnic,18500
Agartala,2016,vocational_degree_BVoc,80
Agartala,2016,ITI_and_ShortTerm_Vocational_Certified,47000
Agartala,2016,pg_science_MSc,4600
Agartala,2016,pg_commerce_MCom,4100
Agartala,2016,pg_arts_MA,5100
Agartala,2016,pg_eng_ME_MTech,1550
Agartala,2016,pg_medical_MD_MS,370
Agartala,2016,pg_management_MBA,4200
Agartala,2016,pg_computers_MCA,1700
Agartala,2016,pg_education_MEd,420
Agartala,2017,engineers_BE_BTech,14500
Agartala,2017,architecture_BArch,220
Agartala,2017,design_graduates_BDes_MDes,90
Agartala,2017,doctors_MBBS,740
Agartala,2017,doctors_BDS,270
Agartala,2017,doctors_BAMS_BHMS_Unani,320
Agartala,2017,bsc_graduates,23000
Agartala,2017,bcom_graduates,21000
Agartala,2017,arts_graduates_BA,26000
Agartala,2017,hotel_management_degree,700
Agartala,2017,education_BEd,6500
Agartala,2017,diploma_holders_polytechnic,19000
Agartala,2017,vocational_degree_BVoc,120
Agartala,2017,ITI_and_ShortTerm_Vocational_Certified,50000
Agartala,2017,pg_science_MSc,4700
Agartala,2017,pg_commerce_MCom,4200
Agartala,2017,pg_arts_MA,5200
Agartala,2017,pg_eng_ME_MTech,1450
Agartala,2017,pg_medical_MD_MS,400
Agartala,2017,pg_management_MBA,4500
Agartala,2017,pg_computers_MCA,1500
Agartala,2017,pg_education_MEd,450
Agartala,2018,engineers_BE_BTech,16000
Agartala,2018,architecture_BArch,230
Agartala,2018,design_graduates_BDes_MDes,100
Agartala,2018,doctors_MBBS,800
Agartala,2018,doctors_BDS,280
Agartala,2018,doctors_BAMS_BHMS_Unani,340
Agartala,2018,bsc_graduates,23500
Agartala,2018,bcom_graduates,21500
Agartala,2018,arts_graduates_BA,26500
Agartala,2018,hotel_management_degree,750
Agartala,2018,education_BEd,6800
Agartala,2018,diploma_holders_polytechnic,20000
Agartala,2018,vocational_degree_BVoc,200
Agartala,2018,ITI_and_ShortTerm_Vocational_Certified,53000
Agartala,2018,pg_science_MSc,4900
Agartala,2018,pg_commerce_MCom,4400
Agartala,2018,pg_arts_MA,5300
Agartala,2018,pg_eng_ME_MTech,1600
Agartala,2018,pg_medical_MD_MS,430
Agartala,2018,pg_management_MBA,4800
Agartala,2018,pg_computers_MCA,1800
Agartala,2018,pg_education_MEd,480
Agartala,2019,engineers_BE_BTech,16500
Agartala,2019,architecture_BArch,250
Agartala,2019,design_graduates_BDes_MDes,110
Agartala,2019,doctors_MBBS,850
Agartala,2019,doctors_BDS,300
Agartala,2019,doctors_BAMS_BHMS_Unani,360
Agartala,2019,bsc_graduates,24000
Agartala,2019,bcom_graduates,22000
Agartala,2019,arts_graduates_BA,27000
Agartala,2019,hotel_management_degree,800
Agartala,2019,education_BEd,7000
Agartala,2019,diploma_holders_polytechnic,21000
Agartala,2019,vocational_degree_BVoc,300
Agartala,2019,ITI_and_ShortTerm_Vocational_Certified,57000
Agartala,2019,pg_science_MSc,5100
Agartala,2019,pg_commerce_MCom,4600
Agartala,2019,pg_arts_MA,5400
Agartala,2019,pg_eng_ME_MTech,1650
Agartala,2019,pg_medical_MD_MS,460
Agartala,2019,pg_management_MBA,5200
Agartala,2019,pg_computers_MCA,2000
Agartala,2019,pg_education_MEd,500
Agartala,2020,engineers_BE_BTech,17000
Agartala,2020,architecture_BArch,260
Agartala,2020,design_graduates_BDes_MDes,120
Agartala,2020,doctors_MBBS,900
Agartala,2020,doctors_BDS,310
Agartala,2020,doctors_BAMS_BHMS_Unani,380
Agartala,2020,bsc_graduates,24500
Agartala,2020,bcom_graduates,22500
Agartala,2020,arts_graduates_BA,27500
Agartala,2020,hotel_management_degree,400
Agartala,2020,education_BEd,7200
Agartala,2020,diploma_holders_polytechnic,21500
Agartala,2020,vocational_degree_BVoc,400
Agartala,2020,ITI_and_ShortTerm_Vocational_Certified,50000
Agartala,2020,pg_science_MSc,5300
Agartala,2020,pg_commerce_MCom,4800
Agartala,2020,pg_arts_MA,5500
Agartala,2020,pg_eng_ME_MTech,1700
Agartala,2020,pg_medical_MD_MS,490
Agartala,2020,pg_management_MBA,5400
Agartala,2020,pg_computers_MCA,2100
Agartala,2020,pg_education_MEd,520
Agartala,2021,engineers_BE_BTech,17500
Agartala,2021,architecture_BArch,270
Agartala,2021,design_graduates_BDes_MDes,130
Agartala,2021,doctors_MBBS,950
Agartala,2021,doctors_BDS,320
Agartala,2021,doctors_BAMS_BHMS_Unani,400
Agartala,2021,bsc_graduates,25000
Agartala,2021,bcom_graduates,23000
Agartala,2021,arts_graduates_BA,28000
Agartala,2021,hotel_management_degree,500
Agartala,2021,education_BEd,7500
Agartala,2021,diploma_holders_polytechnic,22000
Agartala,2021,vocational_degree_BVoc,550
Agartala,2021,ITI_and_ShortTerm_Vocational_Certified,55000
Agartala,2021,pg_science_MSc,5500
Agartala,2021,pg_commerce_MCom,5000
Agartala,2021,pg_arts_MA,5600
Agartala,2021,pg_eng_ME_MTech,1750
Agartala,2021,pg_medical_MD_MS,520
Agartala,2021,pg_management_MBA,5600
Agartala,2021,pg_computers_MCA,2300
Agartala,2021,pg_education_MEd,550
Agartala,2022,engineers_BE_BTech,18000
Agartala,2022,architecture_BArch,280
Agartala,2022,design_graduates_BDes_MDes,140
Agartala,2022,doctors_MBBS,1000
Agartala,2022,doctors_BDS,330
Agartala,2022,doctors_BAMS_BHMS_Unani,420
Agartala,2022,bsc_graduates,25500
Agartala,2022,bcom_graduates,23500
Agartala,2022,arts_graduates_BA,28500
Agartala,2022,hotel_management_degree,700
Agartala,2022,education_BEd,7800
Agartala,2022,diploma_holders_polytechnic,23000
Agartala,2022,vocational_degree_BVoc,700
Agartala,2022,ITI_and_ShortTerm_Vocational_Certified,60000
Agartala,2022,pg_science_MSc,5700
Agartala,2022,pg_commerce_MCom,5200
Agartala,2022,pg_arts_MA,5700
Agartala,2022,pg_eng_ME_MTech,1800
Agartala,2022,pg_medical_MD_MS,550
Agartala,2022,pg_management_MBA,5800
Agartala,2022,pg_computers_MCA,2500
Agartala,2022,pg_education_MEd,580
Agartala,2023,engineers_BE_BTech,18500
Agartala,2023,architecture_BArch,300
Agartala,2023,design_graduates_BDes_MDes,150
Agartala,2023,doctors_MBBS,1050
Agartala,2023,doctors_BDS,350
Agartala,2023,doctors_BAMS_BHMS_Unani,440
Agartala,2023,bsc_graduates,26000
Agartala,2023,bcom_graduates,24000
Agartala,2023,arts_graduates_BA,29000
Agartala,2023,hotel_management_degree,800
Agartala,2023,education_BEd,8000
Agartala,2023,diploma_holders_polytechnic,24000
Agartala,2023,vocational_degree_BVoc,900
Agartala,2023,ITI_and_ShortTerm_Vocational_Certified,65000
Agartala,2023,pg_science_MSc,5900
Agartala,2023,pg_commerce_MCom,5400
Agartala,2023,pg_arts_MA,5800
Agartala,2023,pg_eng_ME_MTech,1850
Agartala,2023,pg_medical_MD_MS,580
Agartala,2023,pg_management_MBA,6000
Agartala,2023,pg_computers_MCA,2700
Agartala,2023,pg_education_MEd,600
Agartala,2024,engineers_BE_BTech,19000
Agartala,2024,architecture_BArch,320
Agartala,2024,design_graduates_BDes_MDes,160
Agartala,2024,doctors_MBBS,1100
Agartala,2024,doctors_BDS,360
Agartala,2024,doctors_BAMS_BHMS_Unani,460
Agartala,2024,bsc_graduates,26500
Agartala,2024,bcom_graduates,24500
Agartala,2024,arts_graduates_BA,29500
Agartala,2024,hotel_management_degree,900
Agartala,2024,education_BEd,8200
Agartala,2024,diploma_holders_polytechnic,25000
Agartala,2024,vocational_degree_BVoc,1100
Agartala,2024,ITI_and_ShortTerm_Vocational_Certified,70000
Agartala,2024,pg_science_MSc,6100
Agartala,2024,pg_commerce_MCom,5600
Agartala,2024,pg_arts_MA,5900
Agartala,2024,pg_eng_ME_MTech,1900
Agartala,2024,pg_medical_MD_MS,610
Agartala,2024,pg_management_MBA,6200
Agartala,2024,pg_computers_MCA,2900
Agartala,2024,pg_education_MEd,620
Ahmedabad,2015,engineers_BE_BTech,40000
Ahmedabad,2015,architecture_BArch,900
Ahmedabad,2015,design_graduates_BDes_MDes,400
Ahmedabad,2015,doctors_MBBS,1900
Ahmedabad,2015,doctors_BDS,500
Ahmedabad,2015,doctors_BAMS_BHMS_Unani,600
Ahmedabad,2015,bsc_graduates,35000
Ahmedabad,2015,bcom_graduates,62000
Ahmedabad,2015,arts_graduates_BA,28000
Ahmedabad,2015,hotel_management_degree,1800
Ahmedabad,2015,education_BEd,7000
Ahmedabad,2015,diploma_holders_polytechnic,30000
Ahmedabad,2015,vocational_degree_BVoc,200
Ahmedabad,2015,ITI_and_ShortTerm_Vocational_Certified,70000
Ahmedabad,2015,pg_science_MSc,7000
Ahmedabad,2015,pg_commerce_MCom,9300
Ahmedabad,2015,pg_arts_MA,4000
Ahmedabad,2015,pg_eng_ME_MTech,4000
Ahmedabad,2015,pg_medical_MD_MS,950
Ahmedabad,2015,pg_management_MBA,15000
Ahmedabad,2015,pg_computers_MCA,3500
Ahmedabad,2015,pg_education_MEd,450
Ahmedabad,2016,engineers_BE_BTech,41000
Ahmedabad,2016,architecture_BArch,950
Ahmedabad,2016,design_graduates_BDes_MDes,420
Ahmedabad,2016,doctors_MBBS,1950
Ahmedabad,2016,doctors_BDS,520
Ahmedabad,2016,doctors_BAMS_BHMS_Unani,620
Ahmedabad,2016,bsc_graduates,35500
Ahmedabad,2016,bcom_graduates,63000
Ahmedabad,2016,arts_graduates_BA,28500
Ahmedabad,2016,hotel_management_degree,1900
Ahmedabad,2016,education_BEd,7200
Ahmedabad,2016,diploma_holders_polytechnic,31000
Ahmedabad,2016,vocational_degree_BVoc,300
Ahmedabad,2016,ITI_and_ShortTerm_Vocational_Certified,72000
Ahmedabad,2016,pg_science_MSc,7100
Ahmedabad,2016,pg_commerce_MCom,9500
Ahmedabad,2016,pg_arts_MA,4100
Ahmedabad,2016,pg_eng_ME_MTech,4100
Ahmedabad,2016,pg_medical_MD_MS,1000
Ahmedabad,2016,pg_management_MBA,15500
Ahmedabad,2016,pg_computers_MCA,3300
Ahmedabad,2016,pg_education_MEd,470
Ahmedabad,2017,engineers_BE_BTech,39000
Ahmedabad,2017,architecture_BArch,1000
Ahmedabad,2017,design_graduates_BDes_MDes,450
Ahmedabad,2017,doctors_MBBS,2000
Ahmedabad,2017,doctors_BDS,530
Ahmedabad,2017,doctors_BAMS_BHMS_Unani,650
Ahmedabad,2017,bsc_graduates,36000
Ahmedabad,2017,bcom_graduates,64000
Ahmedabad,2017,arts_graduates_BA,29000
Ahmedabad,2017,hotel_management_degree,2000
Ahmedabad,2017,education_BEd,7500
Ahmedabad,2017,diploma_holders_polytechnic,32000
Ahmedabad,2017,vocational_degree_BVoc,450
